task_1	task_2	task_3	task_4	task_5	task_6	task_7	task_8	task_9	task_10	task_11
1	1	0	1	1	0	1	0	0	1	0
1	1	0	0	0	0	0	0	0	0	0
1	1	0	1	0	0	1	0	0	0	0
1	1	0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0
0	1	0	1	1	0	0	0	0	1	0
0	0	1	0	0	0	0	0	0	0	0
1	0	0	1	0	1	1	0	1	1	0
1	1	0	0	0	0	0	0	0	0	0
1	1	0	1	0	0	0	1	1	0	0
1	0	0	1	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	1	1	1	0	0	0
0	0	0	1	1	1	0	1	0	0	0
1	0	0	1	1	0	1	1	1	0	0
0	0	0	1	0	1	0	0	0	0	1
1	1	1	1	1	1	0	1	1	0	0
1	1	1	1	1	0	0	0	0	0	0
1	0	1	1	1	0	0	0	0	0	0
1	1	0	1	0	1	1	1	1	0	0
1	0	0	1	0	0	0	0	0	0	0
1	1	1	1	1	1	0	1	1	1	1
1	0	0	1	0	0	1	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0
1	1	1	1	0	0	1	0	0	1	0
1	0	0	0	1	0	0	1	1	0	0
1	0	0	1	1	0	0	1	0	0	0
0	1	0	1	0	0	0	0	0	0	0
1	1	0	1	1	0	0	0	1	1	1
1	1	0	1	1	0	1	0	0	0	0
1	0	0	1	1	0	0	0	1	0	0
1	1	0	1	1	1	1	0	1	0	0
1	0	0	1	1	0	1	0	1	0	0
1	1	0	1	1	1	0	0	0	1	1
0	0	0	1	1	1	0	0	0	0	0
1	1	1	1	1	0	0	0	1	0	0
1	0	0	0	1	0	0	0	0	0	0
1	0	0	1	0	0	0	0	0	0	0
1	1	0	1	1	0	0	1	0	0	0
1	1	0	0	0	0	0	0	0	0	0
1	1	0	1	1	1	1	1	1	0	0
1	0	0	1	1	0	0	1	1	0	1
1	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
1	1	0	1	1	1	0	1	1	1	0
1	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
1	0	0	1	1	0	0	0	0	0	0
1	0	0	1	0	0	0	0	0	0	0
1	1	1	1	0	0	0	0	0	0	0
1	0	0	1	0	0	1	0	0	0	1
1	0	0	1	1	0	0	1	1	0	0
1	1	0	1	1	1	0	1	1	1	0
1	0	0	1	1	0	0	0	0	0	0
1	0	0	1	1	0	0	0	0	0	0
0	0	0	1	0	0	1	0	1	0	0
1	1	0	1	1	1	0	0	0	0	0
1	0	0	1	0	0	1	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0
1	0	0	1	0	1	1	0	0	0	0
1	1	0	1	1	0	0	0	0	0	0
1	1	1	1	1	0	1	1	0	0	0
1	1	0	1	1	1	1	0	1	1	0
1	1	1	1	0	0	1	1	0	0	0
1	0	0	1	0	0	0	0	0	0	0
1	0	1	1	1	0	1	0	0	0	0
1	1	0	1	1	1	1	0	0	0	0
1	1	1	1	0	1	1	0	1	0	0
0	1	1	1	1	0	0	0	0	0	0
1	1	0	0	1	0	0	1	0	0	0
1	1	0	1	0	0	0	0	0	0	1
1	0	0	1	0	0	0	0	0	0	0
1	1	0	1	0	0	0	0	0	0	0
1	0	0	1	0	0	0	0	0	0	0
1	1	1	1	0	0	1	0	0	0	0
1	1	0	0	1	0	0	0	0	0	0
1	1	1	1	1	0	1	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0
1	0	0	1	1	1	1	1	1	1	0
1	1	0	1	1	0	0	1	0	1	0
1	0	1	1	0	0	0	0	0	0	0
1	0	0	1	1	1	0	0	0	0	0
0	0	0	1	0	1	0	0	0	0	0
1	0	0	0	0	1	0	1	0	0	0
1	1	0	1	1	1	1	0	1	0	1
1	0	0	1	0	0	0	0	1	0	0
1	1	0	1	0	0	0	1	1	0	0
0	1	0	1	1	1	0	0	0	1	0
1	0	1	1	1	1	0	1	1	0	1
1	0	1	1	1	0	0	0	1	0	1
0	0	0	1	1	1	0	1	1	1	1
1	0	0	1	1	0	0	0	0	0	0
1	0	0	1	0	1	1	0	1	1	0
1	1	1	1	1	1	1	1	1	1	0
1	1	0	1	1	0	1	0	1	0	0
0	0	0	1	1	1	0	0	0	0	0
0	0	1	1	0	0	0	0	0	0	0
1	0	0	0	0	1	0	0	0	1	0
1	1	0	1	1	1	0	0	0	1	0
1	0	0	1	0	0	0	0	0	0	0
1	0	1	1	0	0	0	0	0	0	0
1	0	0	1	1	0	0	0	0	0	0
1	0	0	1	1	0	0	1	0	0	0
1	1	1	1	0	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0	0
1	0	0	1	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	0	0	0	0	0	0	0
1	1	0	1	1	0	1	1	1	1	0
1	1	1	1	1	0	0	0	0	0	0
1	1	1	1	1	0	0	1	1	0	0
1	0	1	1	0	0	0	0	0	0	0
0	1	0	1	1	0	0	0	0	0	0
1	1	0	1	0	0	1	0	0	0	0
1	0	0	1	0	1	0	0	0	0	1
1	1	1	1	1	1	1	1	0	1	1
1	1	1	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0
1	0	1	0	0	0	0	0	0	0	0
1	0	1	1	0	0	0	0	0	0	0
0	0	0	1	1	0	0	0	0	0	0
1	1	1	1	0	0	1	0	0	0	0
1	0	0	1	0	1	0	1	0	1	0
0	1	1	1	0	1	0	0	0	0	0
1	1	0	1	1	0	0	0	0	0	0
1	1	0	1	1	1	0	1	1	1	0
1	0	1	1	0	0	1	1	0	0	0
1	0	0	1	1	0	0	1	0	0	0
1	1	1	1	1	1	1	1	1	0	1
1	1	0	1	1	0	1	1	1	1	1
1	0	0	1	1	1	1	1	1	0	0
1	1	0	1	0	1	1	0	1	1	0
1	1	0	0	1	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0
1	0	1	1	0	0	0	0	0	0	0
0	0	0	1	0	1	0	0	0	0	0
1	1	0	1	1	1	0	0	0	1	0
1	1	0	1	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0
1	1	1	1	0	0	1	0	1	1	0
1	1	0	1	1	1	1	1	1	1	0
0	0	0	1	0	0	0	0	0	0	0
1	0	0	1	0	0	0	0	0	0	0
1	1	0	1	0	1	1	0	0	0	0
0	0	0	1	0	1	0	0	0	0	0
0	0	0	1	1	1	0	0	0	0	0
1	1	0	1	1	0	0	1	0	0	0
0	0	0	1	0	0	0	0	0	0	0
1	0	1	1	1	1	1	1	1	1	1
1	0	0	1	0	0	0	1	0	0	0
