student_id	time	course	grade
0	0	1	1
0	1	0	-1
0	2	3	-2
0	3	2	-2
0	4	7	1
0	5	3	-1
0	6	2	1
0	7	8	2
0	8	5	-2
1	0	1	-2
1	1	0	1
1	2	4	1
1	3	2	1
1	4	1	-1
1	5	3	-2
1	6	7	2
1	7	6	1
1	8	8	-2
2	0	2	1
2	1	0	2
2	2	8	-1
2	3	1	-1
2	4	4	-2
2	5	4	2
2	6	3	-1
2	7	7	-1
3	0	0	-1
3	1	1	-2
3	2	4	1
3	3	3	-2
3	4	2	-1
3	5	1	-2
4	0	1	-2
4	1	1	1
4	2	6	-2
4	3	3	-2
5	0	2	1
5	1	3	1
5	2	5	1
5	3	8	1
5	4	1	1
5	5	7	-1
5	6	6	1
5	7	0	-2
5	8	0	-1
5	9	4	-1
6	0	0	1
6	1	1	-2
6	2	3	-1
6	3	4	-1
6	4	2	1
6	5	8	2
6	6	5	-2
6	7	1	-2
7	0	1	-2
7	1	1	-1
7	2	7	1
7	3	0	1
7	4	6	-1
7	5	4	2
7	6	2	1
7	7	8	1
7	8	3	2
8	0	2	2
8	1	0	2
8	2	8	-2
8	3	8	2
8	4	3	2
8	5	4	-1
8	6	1	-1
8	7	7	2
9	0	3	1
9	1	2	-1
9	2	5	-2
9	3	5	1
9	4	1	1
9	5	0	-1
9	6	4	-2
9	7	8	1
9	8	7	-1
9	9	4	-2
10	0	2	-1
10	1	1	-2
10	2	8	1
10	3	3	-1
10	4	0	-1
10	5	1	-2
10	6	4	1
10	7	1	-2
11	0	0	2
11	1	3	-1
11	2	2	-2
11	3	4	-1
11	4	2	-2
11	5	2	2
11	6	1	-1
11	7	5	1
11	8	8	-1
12	0	1	-2
12	1	3	-1
12	2	2	-1
12	3	0	-2
12	4	5	-2
13	0	1	-2
13	1	1	-2
13	2	1	2
13	3	3	2
13	4	7	2
13	5	5	-1
13	6	6	2
13	7	2	-1
13	8	0	-2
14	0	2	-1
14	1	0	-2
14	2	3	-1
14	3	1	-2
14	4	1	2
14	5	7	2
14	6	8	-2
15	0	0	1
15	1	2	-2
15	2	2	1
15	3	3	2
15	4	5	-1
15	5	8	-1
15	6	4	2
15	7	1	-2
15	8	1	-1
16	0	2	2
16	1	0	-1
16	2	1	-2
16	3	1	-2
16	4	1	-1
16	5	7	2
16	6	6	-1
16	7	4	-2
17	0	0	-1
17	1	1	-2
17	2	1	-1
17	3	4	1
17	4	6	-1
17	5	7	-1
17	6	2	-1
17	7	3	-1
18	0	3	-1
18	1	1	-1
18	2	7	2
18	3	0	1
18	4	2	-1
18	5	5	-1
18	6	6	1
18	7	4	1
19	0	0	-1
19	1	4	-1
19	2	3	-1
19	3	2	-2
19	4	5	-1
19	5	2	2
19	6	1	-2
19	7	1	-1
19	8	6	2
20	0	3	1
20	1	5	1
20	2	2	1
20	3	1	-2
20	4	0	-2
20	5	8	1
20	6	1	-1
20	7	7	-1
20	8	6	1
20	9	0	-2
21	0	1	1
21	1	7	-1
21	2	3	2
21	3	6	2
21	4	5	-1
21	5	0	-2
21	6	0	1
21	7	2	1
21	8	4	1
22	0	2	1
22	1	0	2
22	2	1	-1
22	3	3	-1
22	4	7	1
22	5	8	1
22	6	5	-2
22	7	6	-2
22	8	5	-2
23	0	1	-1
23	1	6	-1
23	2	7	1
23	3	0	2
23	4	3	-1
23	5	4	1
23	6	2	-1
24	0	1	-2
24	1	1	-2
24	2	1	-1
24	3	6	1
24	4	0	-2
25	0	2	1
25	1	8	2
25	2	3	1
25	3	5	1
25	4	1	-2
25	5	1	-2
25	6	0	1
25	7	1	-1
25	8	7	1
25	9	4	2
26	0	3	-2
26	1	3	-1
26	2	5	2
26	3	2	2
26	4	8	-2
26	5	1	-2
27	0	0	2
27	1	1	1
27	2	6	2
27	3	7	2
27	4	3	-2
27	5	2	2
27	6	3	-1
27	7	5	-2
27	8	5	-2
28	0	2	2
28	1	1	-1
28	2	7	1
28	3	0	-1
28	4	6	2
28	5	8	-1
28	6	3	1
28	7	4	-1
29	0	2	2
29	1	0	-2
29	2	1	1
29	3	7	2
29	4	3	-1
29	5	6	-1
29	6	0	-1
29	7	8	-1
29	8	4	-1
30	0	3	-1
30	1	1	-1
30	2	0	-1
30	3	6	-1
30	4	2	1
30	5	8	1
30	6	7	1
30	7	5	-1
30	8	4	-1
31	0	0	2
31	1	1	-1
31	2	4	2
31	3	3	-2
31	4	2	1
31	5	6	2
31	6	3	-2
31	7	7	-1
31	8	3	-2
32	0	3	1
32	1	2	1
32	2	1	-2
32	3	8	-1
32	4	5	-2
32	5	0	1
32	6	1	1
32	7	7	1
32	8	5	-1
32	9	4	-2
33	0	3	-1
33	1	5	2
33	2	1	-1
33	3	2	-2
33	4	7	1
33	5	2	2
33	6	0	-1
33	7	8	-2
33	8	8	1
33	9	6	-2
34	0	2	2
34	1	8	1
34	2	3	-2
34	3	3	-2
34	4	0	-1
34	5	3	-2
35	0	0	2
35	1	2	1
35	2	8	-1
35	3	1	-2
35	4	4	2
35	5	1	-2
35	6	1	-2
36	0	1	-1
36	1	2	-1
36	2	3	-1
36	3	6	1
36	4	0	1
36	5	5	2
36	6	7	1
36	7	4	1
37	0	2	2
37	1	3	2
37	2	1	1
37	3	8	2
37	4	7	2
37	5	0	-1
37	6	5	-1
37	7	4	1
38	0	1	-2
38	1	1	1
38	2	7	1
38	3	0	1
38	4	6	-1
38	5	4	1
38	6	2	2
38	7	3	1
39	0	1	-2
39	1	1	2
39	2	6	-1
39	3	2	1
39	4	0	-2
39	5	8	-2
40	0	3	2
40	1	1	-1
40	2	2	-1
40	3	5	-2
40	4	0	-2
40	5	5	-2
41	0	1	1
41	1	2	2
41	2	8	-1
41	3	0	2
41	4	3	2
41	5	7	1
41	6	5	-1
41	7	4	-2
41	8	6	-2
41	9	6	-2
42	0	0	-1
42	1	1	2
42	2	6	1
42	3	3	-1
42	4	7	1
42	5	5	-1
42	6	4	-1
42	7	2	-1
43	0	3	-2
43	1	2	2
43	2	8	-2
43	3	1	-2
44	0	1	1
44	1	6	2
44	2	7	1
44	3	2	-1
44	4	0	-1
44	5	4	1
44	6	3	-1
45	0	1	-2
45	1	1	-2
45	2	2	1
45	3	1	2
45	4	3	-1
45	5	5	-1
45	6	6	-1
45	7	8	-1
45	8	7	2
45	9	0	1
45	10	4	-1
46	0	1	-2
46	1	1	-2
46	2	3	1
46	3	5	-2
47	0	3	-2
47	1	3	1
47	2	2	-1
47	3	5	2
47	4	1	-1
47	5	0	1
47	6	8	1
47	7	4	-2
47	8	4	1
48	0	1	-1
48	1	2	2
48	2	7	1
48	3	8	1
48	4	0	-2
48	5	3	-2
48	6	6	-1
48	7	0	-2
49	0	2	-1
49	1	8	-2
49	2	8	-1
49	3	1	-1
49	4	7	2
49	5	6	-1
49	6	0	2
49	7	4	2
49	8	3	1
